audience_freshness,rt_audience_score,rt_freshness,rt_score,imdb_rating,length,rank_in_year,rating,release_date,title,year,revenue,rated_r
95,4.1,91,8.2,8.8,178,2,PG-13,19-Dec-01,The Lord of the Rings: The Fellowship of the Ring,2001,1160945185,FALSE
63,3.3,47,5.2,6.3,130,7,PG-13,4-May-01,The Mummy Returns,2001,577315986.7,FALSE
83,3.5,90,7.4,7.7,143,3,PG-13,22-Dec-00,Cast Away,2000,589107501.4,FALSE
47,3,65,6.2,6.4,82,5,PG,19-May-00,Dinosaur,2000,479673643.7,FALSE
87,3.8,76,7.2,8.5,155,2,R,5-May-00,Gladiator,2000,627512195,TRUE
55,3.2,53,5.6,6,104,6,PG,17-Nov-00,How the Grinch Stole Christmas,2000,473254604.7,FALSE
79,3.6,84,6.9,7,108,7,PG-13,6-Oct-00,Meet the Parents,2000,453101727.4,FALSE
44,3,57,6,6,123,1,PG-13,24-May-00,Mission: Impossible II,2000,749202165.9,FALSE
64,3.2,47,5.5,6.4,130,8,PG-13,30-Jun-00,The Perfect Storm,2000,450735586.1,FALSE
59,3.1,46,5.5,6.6,130,10,PG-13,21-Jul-00,What Lies Beneath,2000,399592809.9,FALSE
54,3.1,54,5.7,6.4,127,4,PG-13,15-Dec-00,What Women Want,2000,512978409.7,FALSE
83,3.7,82,7,7.4,104,9,PG-13,14-Jul-00,X-Men,2000,406337937.1,FALSE
93,3.8,88,8.2,8.4,122,9,R,1-Oct-99,American Beauty,1999,504972371.7,TRUE
71,3.3,51,6,6.6,95,10,PG-13,11-Jun-99,Austin Powers: The Spy Who Shagged Me,1999,442215537.2,FALSE
79,3.3,83,7.1,7,124,7,PG-13,28-May-99,Notting Hill,1999,515733894.8,FALSE
60,3.3,57,5.8,6.6,136,1,PG,19-May-99,Star Wars Episode I: The Phantom Menace,1999,1310017632,FALSE
74,3.2,88,7.6,7.2,88,5,G,18-Jun-99,Tarzan,1999,635213710.2,FALSE
85,3.6,87,7.6,8.7,136,4,R,31-Mar-99,The Matrix,1999,652487687.2,TRUE
75,3.4,55,5.7,7,125,6,PG-13,7-May-99,The Mummy,1999,589494477.1,FALSE
89,3.8,85,7.6,8.2,107,2,PG-13,6-Aug-99,The Sixth Sense,1999,953555515.4,FALSE
50,3,51,5.7,6.4,128,8,PG-13,19-Nov-99,The World Is Not Enough,1999,512818154,FALSE
86,3.5,100,8.6,7.9,92,3,G,24-Nov-99,Toy Story 2,1999,687402755.4,FALSE
72,3.3,92,7.9,7.2,95,5,G,25-Nov-98,A Bug's Life,1998,526412918.8,FALSE
73,3.5,39,5.2,6.6,151,1,PG-13,1-Jul-98,Armageddon,1998,802094487.3,FALSE
43,2.9,48,5.8,6.1,120,6,PG-13,8-May-98,Deep Impact,1998,506228509.2,FALSE
35,2.8,43,5.3,5.3,85,8,PG-13,26-Jun-98,Dr. Dolittle,1998,426544779.9,FALSE
28,2.5,16,4,5.3,139,3,PG-13,20-May-98,Godzilla,1998,549033595.6,FALSE
64,3.3,52,5.8,6.6,127,10,R,10-Jul-98,Lethal Weapon 4,1998,413490148.6,TRUE
84,3.4,86,7.5,7.5,88,7,G,19-Jun-98,Mulan,1998,440833092.4,FALSE
95,4,93,8.6,8.6,169,2,R,24-Jul-98,Saving Private Ryan,1998,697986463.8,TRUE
80,3.4,92,8.3,7.2,123,9,R,8-Jan-99,Shakespeare in Love,1998,419100786.5,TRUE
60,3.3,83,7,7.1,119,4,R,15-Jul-98,There's Something About Mary,1998,535808551.6,TRUE
66,3.2,79,7,6.4,124,5,R,25-Jul-97,Air Force One,1997,463641222,TRUE
87,3.5,86,7.2,7.8,139,6,PG-13,25-Dec-97,As Good as It Gets,1997,462201855.3,FALSE
75,3.4,81,6.9,6.8,86,7,PG-13,21-Mar-97,Liar Liar,1997,445331636.8,FALSE
79,3.5,92,7.5,7.2,98,3,PG-13,2-Jul-97,Men in Black,1997,867079779.9,FALSE
74,3.3,71,6.4,6.3,105,8,PG-13,20-Jun-97,My Best Friend's Wedding,1997,440297359,FALSE
87,3.7,71,6.3,7.6,126,9,PG-13,9-May-97,The Fifth Element,1997,388265227.3,FALSE
79,3.3,95,7.6,7.2,91,10,R,19-Sep-97,The Full Monty,1997,379335283.2,TRUE
52,3.2,52,5.6,6.5,129,2,PG-13,23-May-97,The Lost World: Jurassic Park,1997,910108547.1,FALSE
69,3.3,88,8,7.7,194,1,PG-13,19-Dec-97,Titanic,1997,2711618942,FALSE
53,3.1,57,6,6.5,119,4,PG-13,19-Dec-97,Tomorrow Never Dies,1997,489908039.7,FALSE
40,2.9,38,5.3,5.6,103,6,G,27-Nov-96,101 Dalmatians,1996,482605706.9,FALSE
39,2.8,36,4.9,6,115,10,R,21-Jun-96,Eraser,1996,364630884.7,TRUE
75,3.5,60,6.3,6.9,145,1,PG-13,3-Jul-96,Independence Day,1996,1230107591,FALSE
79,3.3,85,7.4,7.3,139,9,R,13-Dec-96,Jerry Maguire,1996,411669627,TRUE
71,3.3,61,5.9,7.1,110,3,PG-13,22-May-96,Mission: Impossible,1996,688787804.9,FALSE
62,3.1,75,6.6,6.6,121,7,R,8-Nov-96,Ransom,1996,465755910.4,TRUE
69,3.1,73,7.1,6.9,91,5,G,21-Jun-96,The Hunchback of Notre Dame,1996,489602830.8,FALSE
44,2.9,65,5.9,5.5,95,8,PG-13,28-Jun-96,The Nutty Professor,1996,412284269.3,FALSE
86,3.6,66,6.6,7.4,136,4,R,7-Jun-96,The Rock,1996,504236144.1,TRUE
58,3.2,57,6,6.2,113,2,PG-13,10-May-96,Twister,1996,744130795.3,FALSE
86,3.6,95,8.1,7.6,140,3,PG,30-Jun-95,Apollo 13,1995,547646277.7,FALSE
33,2.9,41,5.2,5.4,121,6,PG-13,16-Jun-95,Batman Forever,1995,521397145.4,FALSE
49,3,44,4.8,6,100,8,PG,26-May-95,Casper,1995,446097882.2,FALSE
83,3.6,51,5.7,7.6,131,1,R,19-May-95,Die Hard with a Vengeance,1995,567215110.8,TRUE
83,3.4,82,6.9,7.2,130,4,PG-13,17-Nov-95,GoldenEye,1995,545667343.3,FALSE
61,3.2,50,5.6,6.8,104,10,PG,15-Dec-95,Jumanji,1995,407161572.4,FALSE
64,3.2,56,6,6.6,81,5,G,23-Jun-95,Pocahontas,1995,536194290.8,FALSE
95,4.1,79,7.6,8.7,127,7,R,22-Sep-95,Seven,1995,507116462.2,TRUE
92,3.7,100,9,8.3,81,2,G,22-Nov-95,Toy Story,1995,560796160,FALSE
43,2.6,42,5.2,6.1,135,9,PG-13,28-Jul-95,Waterworld,1995,409363135.8,FALSE
74,3.4,82,6.9,6.9,141,10,PG-13,3-Aug-94,Clear and Present Danger,1994,343962158.2,FALSE
84,3.3,66,5.9,7.3,107,7,PG-13,16-Dec-94,Dumb and Dumber,1994,393970405.1,FALSE
95,4.1,72,7.2,8.8,142,2,PG-13,6-Jul-94,Forrest Gump,1994,1079245008,FALSE
74,3.2,95,7.6,7.1,117,8,R,15-Apr-94,Four Weddings and a Funeral,1994,391461773,TRUE
86,3.7,61,5.9,7.6,123,9,R,11-Nov-94,Interview with the Vampire: The Vampire Chronicles,1994,356352655.7,TRUE
76,3.3,93,7.9,7.2,116,5,R,10-Jun-94,Speed,1994,558349970,TRUE
24,2.5,21,3.7,4.8,91,6,PG,27-May-94,The Flintstones,1994,544302423.8,FALSE
93,4,90,8.2,8.5,89,1,G,24-Jun-94,The Lion King,1994,1224609826,FALSE
67,3.2,77,6.4,6.8,101,4,PG-13,29-Jul-94,The Mask,1994,560158721.2,FALSE
76,3.2,72,6.6,7.2,141,3,R,15-Jul-94,True Lies,1994,603652739.6,TRUE
51,2.8,69,6.2,6.3,112,7,R,28-May-93,Cliffhanger,1993,416680933,TRUE
48,2.9,37,4.6,5.8,117,6,R,7-Apr-93,Indecent Proposal,1993,435658442.9,TRUE
